성분,기능성 내용
저분자콜라겐펩타이드,"피부 보습에 도움을 줄 수 있음, 자외선에 의한 피부손상으로부터 피부 건강을 유지하는데 도움을 줄 수 있음 ,"
MR-10 민들레등복합추출물,갱년기 남성의 건강에 도움을 줄 수 있음
전칠삼추출물 등 복합물,관절 건강에 도움을 줄 수 있음
효모베타글루칸,면역기능 증진에 도움을 줄 수 있음 (생리활성기능 2등급)
피엘에이지,인터루킨 4 감소를 통한 면역조절에 도움을 줄 수 있음 (생리활성기능 2등급)
핑거루트추출분말,"자외선에 의한 피부손상으로부터 피부 건강을 유지하는데 도움을 줄 수 있음, 체지방 감소에 도움을 줄 수 있음, 피부보습에 도움을 줄 수 있음 , ,"
핑거루트추출물,(1) 자외선에 의한 피부손상으로부터 피부 건강을 유지하는데 도움을 줄 수 있음 (2) 체지방 감소에 도움을 줄 수 있음 (3) 피부보습에 도움을 줄 수 있음 (1) (2) (3)
나토균배양분말,혈행 개선에 도움을 줄 수 있음
돌외잎주정추출분말,체지방 감소에 도움을 줄 수 있음 (생리활성기능 2등급) ( 2 )
포도씨 효소분해 추출 분말,혈압이 높은 사람에게 도움을 줄 수 있음(생리활성기능 2등급)
히드록시프로필메틸셀룰로오스,식후 혈당상승 억제에 도움을 줄 수 있음 (생리활성기능 2등급)
상엽추출물,식후혈당 상승 억제에 도움을 줄 수 있음(생리활성기능 2등급)
로즈힙분말,관절 및 연골건강에 도움을 줄 수 있음
헛개나무과병추출분말,알콜성 손상으로부터 간을 보호하는데 도움을 줄 수 있음
석류농축액,"갱년기 여성의 건강에 도움을 줄 수 있음, 피부보습에 도움을 줄 수 있음, 자외선에 의한 피부 손상으로부터 피부건강을 유지하는데 도움을 줄 수 있음 ` , ,"
보스웰리아 추출물,관절 및 연골건강에 도움을 줄 수 있음
카카오분말,혈관이완을 통한 혈행 개선에 도움을 줄 수 있음 -
CMO 함유 FAC,관절 건강에 도움을 줄 수 있음
UREX 프로바이오틱스,질내 유익균 증식 및 유해균 억제에 도움을 줄 수 있음
무화과페이스트,배변활동 원활에 도움을 줄 수 있음 (생리활성기능 2등급)
강황 추출물,관절건강에 도움을 줄 수 있음(생리활성기능 2등급)
적포도발효농축액,콜레스테롤 개선에 도움을 줄 수 있음(생리활성기능 2등급)
그린커피빈추출물,체지방 감소에 도움을 줄 수 있음
식물스타놀 에스테르,높은 혈중 콜레스테롤 수치 개선에 도움을 줄 수 있음(생리활성기능 2등급)
파크랜 크랜베리 분말,요로의 유해균 흡착 억제로 요로건강에 도움을 줄 수 있음(생리활성기능 2등급)
