성분,기능성 내용
베타글루칸 분말,면역기능 증진에 도움
청호추출분말,간 건강에 도움을 줄 수 있음.
루테인지아잔틴추출복합물,노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움
Bifidobacterium breve B-3 프로바이오틱스,체지방 감소에 도움을 줄 수 있음
옥수수수염추출물등 복합물,체지방감소에 도움을 줄 수 있음
두충우슬추출복합물,갱년기 남성의 건강에 도움을 줄 수 있음
유크림농축분말,(1) 자외선에 의한 피부손상으로부터 피부건강을 유지하는데 도움을줄 수 있음 (2) 피부 보습에 도움을 줄 수 있음
병풀추출분말,"노화로 인해 감소될 수 있는 황반색소 밀도를 유지하여 눈 건강에 도움을 줄 수 있음 , 간 건강에 도움을 줄 수 있음"
밀크씨슬 추출물,간 건강에 도움을 줄 수 있음(기타기능)
빌베리주정추출물,눈의 피로 개선에 도움을 줄 수 있음 (기타기능)
히알루론산나트륨,피부 보습에 도움을 줄 수 있음 (생리활성기능 2등급)
Lactobacillus plantarum Q180,식후 혈중 중성지방 개선에 도움을 줄 수 있음
타히보 추출물,관절 및 연골 건강 개선에 도움을 줄 수 있음.
사삼추출물,체지방 감소에 도움
들쭉열매추출분말,자외선에 의한 피부손상으로부터 피부건강 유지에 도움을 줄 수 있음
단삼주정추출분말,갱년기 여성건강에 도움을 줄 수 있음
옥수수수염추출물등 복합물,체지방감소에 도움을 줄 수 있음
당귤농축분말,"자외선에 의한 피부손상으로부터 피부건강을 유지하는데 도움을 줄 수 있음, 피부 보습에 도움을 줄 수 있음"
아프리카망고 종자추출물,체지방 감소에 도움을 줄 수 있음(생리활성기능 2등급)
EPA 및 DHA 함유유지,건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음
보리 베타글루칸 추출물,혈중 콜레스테롤 개선에 도움을 줄 수 있음(생리활성기능 2등급)
유단백가수분해물,유단백가수분해물은 스트레스로 인한 긴장을 완화하는데 도움을 줄 수 있습니다.
EPA 및 DHA 함유유지,건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음(생리활성기능 2등급)
황국,혈중 콜레스테롤 개선에 도움을 줄 수 있음
발아발효콩추출물,갱년기 여성 건강에 도움을 줄 수 있음
블랙라즈베리 추출물,혈압 조절에 도움을 줄 수 있음
양춘사추출물,체지방 감소에 도움을 줄 수 있음
다이크로스타키스 글로메라타 추출물,체지방 감소에 도움을 줄 수 있음
레몬 밤 추출물 혼합분말,체지방 감소에 도움을 줄 수 있음(생리활성기능 2등급)
액상 다래추출물,면역 과민반응 개선에 도움을 줄 수 있음(기타기능)
참나리추출분말,관절 및 연골건강에 도움을 줄 수 있음
에키네시아추출물,면역기능 증진에 도움을 줄 수 있음
황해쑥추출분말,위점막을 보호하여 위건강에 도움을 줄 수 있음
석류농축분말,자외선에 의한 피부손상으로부터 피부 건강을 유지하는데 도움을 줄 수 있음.
돈태반 발효추출물,피로 개선에 도움을 줄 수 있음
대두올리고당,"""장내 유익균의 증식과 유해균의 억제에 도움을 줄 수 있습니다."", ""배변활동을 원활히 하는데 도움을 줄 수 있습니다."" ◆ 인체시험에서 대두올리고당을 섭취할 경우 장내 유익균의 증식과 유해균을 억제하고, 배변활동을 원활히 하는데 도움을 줄 수 있음을 확인하였으나 자료의 수가 제한되어 있음. 따라서 반드시 ‘---에 도움을 줄 수 있습니다’의 형식으로 표시하여야 함"
CLA-80HGR,“공액리놀레산( )는 과체중인 성인의 체지방 감소에 도움을 줄 수 있습니다.” (과체중인 성인을 대상으로 한 인체시험에서 를 섭취한 경우 체지방( )감소에 도움을 줄 수 있음이 많은 자료에서 확인되었으나 한국인을 대상으로 한 자료가 없었음. 따라서 반드시 ‘---에 도움을 줄 수 있습니다’의 형식으로 표시하여야 함.)
섬쑥부쟁이추출분말,인지능력 개선에 도움을 줄수 있음
레몬버베나추출물 등 복합물,체지방 감소에 도움을 줄 수 있음
Bacillus coagulans Unique IS-2 프로바이오틱스,배변활동 원활에 도움을 줄 수 있음
해국추출물,1
녹용효소분해추출물,면역기능개선에 도움을 줄 수 있음
CLA-80TAG,“공액리놀레산( )는 과체중인 성인의 체지방 감소에 도움을 줄 수 있습니다.” (과체중인 성인을 대상으로 한 인체시험에서 를 섭취한 경우 체지방( )감소에 도움을 줄 수 있음이 많은 자료에서 확인되었으나 한국인을 대상으로 한 자료가 없었음. 따라서 반드시 ‘---에 도움을 줄 수 있습니다’의 형식으로 표시하여야 함.)
씨제이 홍경천 등 복합추출물,"""씨제이홍경천등복합추출물은 혈당조절을 신경 쓰시는 분들의 공복혈당 조절에 도움을 줄 수 있으나 아직은 과학적 근거가 부족합니다."" ◆ 소수의 인체시험에서 여러 혈당조절 지표 중 공복혈당만이 유의적으로 감소되었으나 이를 설명할 수 있는 과학적 근거가 부족합니다. 따라서 반드시 ‘---에 도움을 줄 수 있으나 아직은 과학적 근거가 부족합니다’의 형식으로 표시하여야 함."
밀크씨슬추출물,“간 건강에 도움을 줄 수 있음” (기타기능)
가르시니아 캄보지아 껍질추출물 HCActive Ca 65,“탄수화물에서 지방으로의 합성을 억제하여 체지방 감소에 도움을 줍니다”(기타기능 )
저분자콜라겐펩타이드 AG,1. 피부보습에 도움을 줄 수 있음. 2. 자외선에 의한 피부손상으로부터 피부건강을 유지하는데 도움을 줄 수 있음.
스피루리나추출물,-
아마인,콜레스테롤 감소에 도움을 줄 수 있음 (기타기능 Ⅱ)
유산균복합물,혈중 콜레스테롤 개선에 도움을 줄 수 있음
가자추출물,관절 및 연골 건강에 도움을 줄 수 있음
레몬밤민들레추출복합물,간건강에 도움을 줄수 있음
가르시니아 캄보지아 껍질추출물 60,“탄수화물에서 지방으로의 합성을 억제하여 체지방 감소에 도움을 줍니다”(기타기능 )
가르시니아 캄보지아 껍질추출물,“탄수화물에서 지방으로의 합성을 억제하여 체지방 감소에 도움을 줍니다”(기타기능 )
MSM,“관절건강에 도움이 될 수 있습니다.”(기타기능 )
밀크씨슬추출물,“간 건강에 도움을 줄 수 있음” (기타기능)
맥아구절초추출복합물,월경 전 변화에 의한 불편한 상태 개선에 도움을 줄 수 있음
Lactiplantibacillus plantarum HAC01 프로바이오틱스,식후 혈당 상승 억제에 도움을 줄 수 있음
weissella cibaria JW15 프로바이오틱스,-
보스웰리아추출물,관절 및 연골건강에 도움을 줄 수 있음
감잎주정추출분말,건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음.
크릴오일,관절건강 개선에 도움을 줄 수 있음
저분자콜라겐펩타이드,"피부보습에 도움을 줄 수 있음, 자외선에 의한 피부손상으로부터 피부건강을 유지하는데 도움을 줄 수 있음, 관절 및 연골 건강에 도움을 줄 수 있음"
옻나무 추출분말,갱년기 남성의 건강에 도움을 줄 수 있음 (생리활성기능 2등급)
오메가-3 지방산 함유 유지,기억력 개선에 도움을 줄 수 있음 (생리활성기능 2등급)
AP 콜라겐 효소분해 펩타이드,피부 보습에 도움을 줄 수 있음 (기타 기능 Ⅱ)
은행잎추출물,1) 성인의 기억력 개선에 도움을 줄 수 있음 (기타기능) 2) 혈행 개선에 도움을 줄 수 있음 (기타기능)
L-카르니틴 타르트레이트,체지방 감소에 도움을 줄 수 있음 (기타기능 Ⅱ)
콘드로이친 황산염,관절 및 연골건강에 도움을 줄 수 있음
배초향 추출물,피부 보습
발효우슬등복합물,관절 건강에 도움
저분자콜라겐펩타이드SH,피부 보습에 도움을 줄 수 있음
레몬밤민들레추출복합물,간기능 개선에 도움을 줄 수 있음.
증숙생강추출분말,위 점막을 보호하여 위 건강에 도움을 줄 수 있음
녹용당귀등 복합추출물,전립선 건강의 유지에 도움을 줄 수 있음
와사비잎추출물,체지방감소에 도움을 줄 수 있음
새싹보리추출물,알콜로 인해 증가된 산화적 스트레스로부터 간을 보호하는데 도움을 줄 수 있음
Bimuno GOS powder,장 내 유익균 증식 및 유해균 억제에 도움을 줄 수 있음.
감마리놀렌산 함유 유지,면역과민반응에 의한 피부상태 개선에 도움을 줄 수 있음(생리활성기능 2등급)
감마리놀렌산 함유 유지,면역과민반응에 의한 피부상태 개선에 도움을 줄 수 있음(생리활성기능 2등급)
과채유래유산균,면역과민반응에 의한 피부상태 개선에 도움을 줄 수 있음(생리활성기능 2등급)
미숙여주주정추출분말,식후 혈당상승 억제에 도움을 줄 수 있음
사군자추출분말,전립선 건강에 도움
산수유추출물등복합물,체지방 감소에 도움을 줄 수 있음
와사비잎 추출물,체지방 감소에 도움을 줄 수 있음
전호잎추출물,관절건강에 도움
아쉬아간다 추출물,첨부서류 참고
실크단백질 산가수분해물,면역력 증진
유단백가수분해물,수면의 질 개선에 도움
배초향 추출물,자외선에 의한 피부손상으로부터 피부 건강 유지하는데 도움을 줄 수 있음
밀 추출물,피부보습에 도움을 줄 수 있음
루테인지아잔틴추출복합물,노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줄 수 있음
포도잎추출물,혈소판 응집억제를 통한 혈행개선에 도움을 줌
Lactobacillus plantarum TWK10 프로바이오틱스,운동수행능력 향상에 도움을 줄 수 있음.
저분자유청단백가수분해물,근력 개선에 도움을 줄 수 있음
저분자 피쉬 콜라겐 펩타이드,첨부서류 참고
구아바잎추출물 등 복합물,"과민반응에 의한 코 상태(코 가려움, 재채기, 콧물) 개선에 도움을 줄 수 있음(기타기능)"
Nopal 추출물,식후 혈당조절에 도움을 줄 수 있습니다.(기타기능)
회화나무열매추출물,
미강주정추출물,수면에 도움을 줄 수 있음
루테인지아잔틴복합추출물,노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줄 수 있음
세리포리아 락세라타 균사체 배양물,공복혈당 조절에 도움을 줄 수 있음 (식약처협의후 최종확정)
홍경천추출물,스트레스로 인한 피로개선에 도움을 줄 수 있음(생리활성기능 2등급)
"홍삼, 사상자, 산수유 복합추추출물",햇볕 또는 자외선에 의한 피부손상으로부터 피부건강을 유지하는데 도움을 줄 수 있습니다.(기타기능)
홍삼오일,전립선 건강에 도움을 줄 수 있음
인삼가시오갈피 등 혼합추출물,“기억력 개선에 도움을 줄 수 있으나 인체시험을 통한 확인이 필요함”(기타기능Ⅲ)
은행잎 추출물,1) 성인의 기억력 개선에 도움을 줄 수 있음 (기타기능) 2) 혈행 개선에 도움을 줄 수 있음 (기타기능)
보리 베타글루칸 추출물,“혈중 콜레스테롤 개선에 도움을 줄 수 있음” (기타기능)
Tonalin CLA TG,“공액리놀레산( )는 과체중인 성인의 체지방 감소에 도움을 줄 수 있습니다.” (과체중인 성인을 대상으로 한 인체시험에서 를 섭취한 경우 체지방( )감소에 도움을 줄 수 있음이 많은 자료에서 확인되었으나 한국인을 대상으로 한 자료가 없었음. 따라서 반드시 ‘---에 도움을 줄 수 있습니다’의 형식으로 표시하여야 함.)
밀크씨슬추출물,“간 건강에 도움을 줄 수 있음” (기타기능)
에키네시아추출물,면역기능 증진에 도움을 줄 수 있음.
Weissella cibaria JW15 프로바이오틱스,면역 기능 증진에 도움을 줄 수 있음
포도블루베리추출혼합분말,신청원료 섭취를 통한 단기 및 장기 기억력 강화
EPA 및 DHA 함유유지,기억력 개선에 도움을 줄 수 있음
저분자 피쉬 콜라겐 펩타이드,"자외선에 의한 피부손상으로부터 피부건강을 유지하는데 도움을 줄 수 있음, 피부 보습에 도움을 줄 수 있음"
흰목이버섯효소분해추출물,인지능력 개선에 도움을 줄 수 있습니다.
밀크씨슬추출물,“간 건강에 도움을 줄 수 있음” (기타기능)
Lutein20%,“루테인은 노화로 인해 감소될 수 있는 황반색소밀도를 유지시켜 주어 눈건강에 도움을 줍니다.(기타 등급)”
CaHMB,운동수행능력 향상에 도움을 줄 수 있음
비피도박테리움 브레베 아이디씨씨 4401,혈중 콜레스테롤 개선에 도움을 줄 수 있음
보스웰리아추출물등 복합물,관절 및 연골 건강에 도움
풋사과추출물 애플페논,체지방 감소에 도움을 줄 수 있음
저분자콜라겐펩타이드GT,피부 보습에 도움을 줄 수 있음
유청단백지질추출물,"1, 피부 보습에 도움을 줄 수 있음 2. 자외선에 의한 피부손상으로부터 피부건강을 유지하는데 도움을 줄 수 있음"
쇠비름들깨혼합추출물,면역력 증진
쑥부쟁이 추출 분말,면역과민반응에 의한 코상태 개선
로즈힙분말,관절 및 연골 건강에 도움을 줄 수 있음 (생리활성기능 2등급)
씨폴리놀 감태주정추출물,식후 혈당 감소에 도움을 줄 수 있음
유비퀴놀,항산화에 도움을 줄 수 있으나 관련 인체적용시험이 미흡함(생리활성기능 2등급)
삼백초추출물,면역과민반응에 의한 코 상태 개선에 도움을 줄 수 있음
유청단백지질추출물,① 피부 보습에 도움을 줄 수 있음 ② 자외선에 의한 피부손상으로부터 피부건강을 유지하는데 도움을 줄 수 있음
복분자 추출물,혈중 콜레스테롤 개선
L.plantarum IM76과 B.longum IM55복합물,"과민반응에 의한 코 상태(콧물, 코막힘 등) 개선에 도움."
작약추출물등복합물,위점막을 보호하고 상복부 불쾌감을 개선하여 위 건강에 도움을 줄 수 있음
수국잎열수추출물,체지방 감소에 도움을 줄 수 있음
난각막가수분해물,관절 및 연골 건강 개선에 도움을 줄 수 있음
L-테아닌,스트레스로 인한 긴장을 완화시키는데 도움을 줄 수 있음 (기타기능 )
풋사과 농축분말,피부 보습에 도움을 줄 수 있음
풋사과추출물 애플페논,체지방 감소에 도움을 줄 수 있음
대두이소플라본 추출물 분말,“뼈 건강에 도움을 줄 수 있습니다.” (기타기능 )
쏘우팔메토열매추출물,“쏘팔메토 열매추출물은 전립선 건강의 유지에 도움을 줄 수 있습니다” (기타기능)
액상 프락토올리고당,건강기능식품공전 .4.8 프락토올리고당
풋사과농축분말,자외선에 의한 피부손상으로부터 피부건강 유지에 도움을 줄 수 있음.
목천료추출분말,① 자외선에 의한 피부손상으로부터 피부건강 유지에 도움을 줄 수 있음. ② 피부보습에 도움을 줄 수 있음.
쏘팔메토 열매 추출물 등 복합물,“전립선 건강의 유지에 도움을 줄 수 있습니다” (기타기능 )
로즈힙 분말,"""로즈힙분말은 관절 및 연골건강에 도움을 줄 수 있습니다.”"
가르시니아 캄보지아 추출물,"“탄수화물에서 지방으로의 합성을 억제하여 체지방 감소에 도움을 줍니다"" (기타기능 )"
쏘팔메토 열매 추출물,“전립선 건강의 유지에 도움을 줄 수 있습니다” (기타기능 )
감마리놀렌산 함유 유지,월경 전 변화에 의한 불편한 상태 개선에 도움을 줄 수 있음(생리활성기능 2등급)
목천료추출분말,① 자외선에 의한 피부손상으로부터 피부건강 유지에 도움을 줄 수 있음 ② 피부보습에 도움을 줄 수 있음
Lactiplantibacillus plantarum PBS067 등 프로바이오틱스 복합물,피부보습에 도움을 줄 수 있음/ 자외선에 의한 피부손상으로부터 피부건강을 유지하는데 도움을 줄 수 있음
동충하초 주정추출물,면역기능 증진에 도움을 줄 수 있음 (생리활성기능 2등급)
프로바이오틱스 HY7714,피부 보습에 도움을 줄 수 있음(생리활성기능 2등급) 자외선에 의한 피부손상으로부터 피부 건강 유지에 도움을 줄 수 있음(생리활성기능 2등급)
계피추출분말,혈당조절에 도움을 줄 수 있으나 관련 인체적용시험이 미흡함(생리활성기능 3등급)
다래추출물,면역 과민반응 개선에 도움을 줄 수 있음(기타기능)
호로파 종자 추출물,서류 제출 예정.
Bacillus coagulans Unique IS-2 프로바이오틱스,배변활동 원활에 도움을 줄 수 있음
보스웰리아 추출물,관절 및 연골건강에 도움을 줄 수 있음 (생리활성기능 2등급)
백편두추출분말,위 점막을 보호하여 위 건강에 도움을 줄 수 있음
CJ저분자콜라겐펩타이드,① 피부보습에 도움을 줄 수 있음 ② 자외선에 의한 피부손상으로부터 피부건강을 유지하는데 도움을 줄 수 있음
인삼,.
유단백가수분해물,스트레스로 인한 긴장 완화에 도움을 줄 수 있음(생리활성기능 2등급)
식물스타놀 에스테르,높은 혈중 콜레스테롤 수치 개선에 도움을 줄 수 있음(생리활성기능 2등급)
가시오갈피 등 복합추출물,관절 건강에 도움을 줄 수 있음(기타기능 )
나한과박추출분말,관절 및 연골건강에 도움을 줄 수 있음
배초향·고지베리·무화과복합추출물,"항당화를 통한 피부 건강 개선에 도움을 줄 수 있음, 피부 보습에 도움을 줄 수 있음, 자외선에 의한 피부 손상으로부터 피부 건강을 유지하는데 도움을 줄 수 있음."
흑차추출물,혈중 중성지방 개선에 도움을 줄 수 있음
타마린드강황주정추출복합물,관절 및 연골건강에 도움을 줄 수 있음
오가피열매50%주정추출물건조엑스,혈압조절에 도움을 줌
블랙라즈베리 추출물,혈압개선에 도움
꾸지뽕잎추출물,위 불편감 개선에 도움을 줄 수 있음
강황추출물,근력개선에 도움을 줄 수 있음
굴가수분해물,.
천심련 추출물,관절건강에 도움을 줄 수 있음
유산균복합물,혈중 콜레스테롤 개선에 도움을 줄 수 있음
맥아구절초추출복합물,월경 전 변화에 의한 불편한 상태 개선에 도움을 줄 수 있음
L-글루탐산발효 가바분말,수면의 질 개선에 도움을 줄 수 있음
루바브뿌리추출물,갱년기 여성 건강에 도움을 줄 수 있음.
해국추출물,체지방 감소에 도움을 줄 수 있음
기장밀추출복합물,모발의 건강 상태 유지에 도움을 줄 수 있음
L. plantarum LC27과 B. longum LC67의 프로바이오틱스 복합물,알콜성 간 손상으로부터 간 건강에 도움을 줄 수 있음
프로바이오틱스,호흡기(기관∙기관지) 건강에 도움을 줄 수 있음
당조고추건조분말,식후 혈당 사승 억제에 도움을 줄 수 있음
L-테아닌,“스트레스로 인한 긴장을 완화시키는데 도움을 줄 수 있음” (기타기능 )
TEAVIGO,항산화 작용
L-글루타민산 유래 GABA 함유 분말,“혈압이 높은 사람에게 도움을 줄 수 있습니다. (기타기능Ⅱ)”
Tonalin CLA FFA,"“과체중인 성인의 체지방 감소에 도움을 줄 수 있습니다."" (기타기능 )"
지초추출물,피부보습에 도움을 줄 수 있음(기타기능Ⅱ)
Dimethylsulfone,관절 건강에 도움을 줄 수 있음(기타기능)
파비플로라생강뿌리추출물,체지방 감소에 도움을 줄 수 있음
보스웰리아추출물,관절 및 연골 건강에 도움을 줄 수 있음
녹차추출물,체지방 감소에 도움을 줄 수 있음(기타기능 )
키토산,체지방 감소에 도움을 줄 수 있음 (생리활성기능 2등급)
잔나비걸상버섯균사체,혈당 조절에 도움을 줄 수 있음 (생리활성기능 2등급)
팔밋올레산 함유 명태,피부 보습에 도움을 줄 수 있음/자외선에 의한 피부손상으로부터 피부건강을 유지해 줌
홍삼,혈당 조절에 도움을 줄 수 있음
오메가-3 지방산 함유 유지,기억력 개선에 도움을 줄 수 있음 (생리활성기능 2등급)
댕댕이나무열매,비알콜성 간기능 손상으로부터 간보호
까마귀쪽나무 열매 주정추출물,관절건강에 도움을 줄 수 있음(생리활성기능 2등급)
헛개나무과병추출분말,알콜성 손상으로부터 간을 보호하는데 도움을 줄 수 있음(생리활성기능 2등급)
올리브잎주정추출물,건강한 혈압의 유지에 도움을 줄 수 있음(생리활성기능 2등급)
Lactobacillus gasseri BNR17,체지방 감소에 도움을 줌
발효굴추출물,근력 성장에 도움을 줄 수 있음
KANEKA Q10,“코엔자임10은 항산화에 도움을 줄 수 있습니다.” (기타Ⅱ등급)
쏘팔메토,“쏘팔메토 열매 추출물은 전립선 건강의 유지에 도움을 줄 수 있습니다” (기타기능)
Free Lutein 복합물,루테인은 노화로 인해 감소될 수 있는 황반색소밀도를 유지시켜 주어 눈건강에 도움을 줍니다.”(기타Ⅰ등급)
FloraGLO Lutein,“루테인은 노화로 인해 감소될 수 있는 황반색소밀도를 유지시켜 주어 눈건강에 도움을 줍니다.”(기타Ⅰ등급)
토마토추출물,“항산화에 도움을 줄 수 있음” (기타기능 )
표고버섯균사체 AHCC,“면역기능 증진에 도움을 줄 수 있습니다” (기타기능)
루바브뿌리추출물,갱년기 여성 건강에 도움을 줄 수 있음
카제인가수분해물,혈압이 높은 사람에게 도움을 줄 수 있습니다.(기타기능 )
밀크씨슬추출물,“간 건강에 도움을 줄 수 있음” (기타기능)
황해쑥추출분말,위점막을 보호하여 위건강에 도움을 줄 수 있음
홍경천 추출물,“스트레스로 인한 피로개선에 도움을 줄 수 있음”(생리활성기능 2등급)
콜레우스 포스콜리 추출물,체지방 감소에 도움을 줄 수 있음(생리활성기능 2등급)
천마추출물,인지기능 개선에 도움을 줌
배초향·고지베리·무화과복합추출물,"항당화를 통한 피부 건강 개선에 도움을 줄 수 있음, 피부 보습에 도움을 줄 수 있음, 자외선에 의한 피부 손상으로부터 피부 건강을 유지하는데 도움을 줄 수 있음."
마리골드꽃추출물,
발효율피추출분말,체지방 감소에 도움
모로오렌지추출분말,체지방 감소에 도움을 줄 수 있음
솔잎증류농축액,건강한 혈당의 유지에 도움을 줄 수 있음 (생리활성기능2등급)
아쉬아간다 추출물,스트레스로 인한 긴장 완화에 도움을 줄 수 있음 (생리활성기능 2등급)
구기자추출물,기억력 개선에 도움을 줄 수 있음(생리활성기능 2등급)
당귀등추출복합물,노인의 기억력 개선에 도움을 줄 수 있음(생리활성기능 2등급)
소나무껍질추출물등복합물,햇볕 또는 자외선에 의한 피부손상으로부터 피부건강을 유지하는데 도움을 줄 수 있음(기타기능)
피쉬 콜라겐펩타이드,피부보습에 도움을 줄 수 있음
저분자유청단백가수분해물,근력 개선에 도움을 줄 수 있음
참당귀·녹용·황기 복합추출물,피로 개선에 도움을 줄 수 있음
새싹인삼추출분말,기억력 개선에 도움을 줄 수 있음
쏘팔메토 열매추출물,“쏘팔메토 열매추출물은 전립선 건강의 유지에 도움을 줄 수 있습니다.”
동우코엔자임Q10,"""코엔자임 10은 항산화에 도움을 줄 수 있습니다.” (기타기능Ⅱ)"
Methyl Slufonyl Methane,"""()은 관절건강에 도움이 될 수 있습니다.” (기타기능)"
,
그린커피빈주정추출물,체지방 감소에 도움을 줄 수 있음
콩발효추출물,
EPA 및 DHA 함유 유지,건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음
갈락토올리고당분말,자외선에 의한 피부손상으로부터 피부건강을 유지하는데 도움을 줄 수 있음
MS-10 엉겅퀴등복합추출물,갱년기 여성 건강
옻나무 추출분말,갱년기 남성의 건강에 도움을 줄 수 있음
쏘팔메토 열매 추출물,“전립선 건강의 유지에 도움을 줄 수 있습니다” (기타기능)
크릴오일,관절 및 연골 건강에 도움을 줄 수 있음
미쯔비시 코엔자임Q10,"""코엔자임 10은 혈압이 높은 사람에게 도움을 줄 수 있습니다."" (기타기능)"
루테인지아잔틴복합추출물20%,노화로 인해 감소될 수 있는 황반색소밀도를 유지시켜 주어 눈건강에 도움을 줌 (기타 등급)
Ca-PGA,“체내 칼슘흡수 촉진에 도움을 줌” (기타기능 )
밀크씨슬추출물,“간 건강에 도움을 줄 수 있음” (기타기능)
대두이소플라본추출물,"“뼈 건강에 도움을 줄 수 있습니다."" (기타기능 )"
피토쏘야,"“뼈 건강에 도움을 줄 수 있습니다."" (기타기능 )"
Tonalin CLA TG,"“과체중인 성인의 체지방 감소에 도움을 줄 수 있습니다."" (기타기능 )"
은행잎추출물,성인의 기억력 개선에 도움을 줄 수 있음 (기타기능) 혈행 개선에 도움을 줄 수 있음 (기타기능)
곤약감자추출분말,피부보습에 도움을 줄 수 있음 (기타기능 )
키토산,체지방 감소에 도움을 줄 수 있음 (생리활성기능 2등급)
감마리놀렌산 함유 유지,면역과민반응에 의한 피부상태 개선에 도움을 줄 수 있음 (생리활성기능 2등급)
피크노제놀-프랑스해안송껍질추출물,"""인체에 유해한 활성산소를 제거하는데 도움을 줄 수 있습니다."" “혈액의 흐름을 방해할 수 있는 혈소판응집을 억제하는데 도움을 줄 수 있습니다.”◆ 인체시험에서 “피크노제놀-프랑스해안송껍질추출물 <>”의 항산화 기능과 혈소판응집 기능이 확인되었으나 자료의 수가 제한되어 있습니다. 따라서 “~도움을 줄 수 있다.”의 형식으로 표시하여야 합니다."
폴리코사놀 - 사탕수수 왁스 알코올,“폴리코사놀은 높은 혈중 콜레스테롤 수치의 개선에 도움이 됩니다.” (충분한 인체시험에서 혈액 중의 총 콜레스테롤과 저밀도지단백( : )수치를 감소시키고 고밀도지단백( : ) 수치를 증가시키는데 도움이 됨을 확인하였습니다)
표고버섯균사체 AHCC,"“표고버섯균사체 는 신체방어능력 향상에 도움이 될 수 있으나 인체시험을 통한 확인이 필요합니다.” (동물시험을 통하여 신체방어능력 향상에 도움이 됨을 확인하였으나 인체시험에서는 확인되지 않았으므로, 반드시 “--인체에서 확인이 필요합니다” 를 표기해야 합니다)"
대두 포스파티딜세린,"""노인의 인지능력 개선에 도움을 줄 수 있습니다."" ◆ 인체시험에서 “대두 포스파티딜세린 (-)”의 노인의 인지능력 개선 기능이 확인되었으나 자료의 수가 제한되어 있습니다. 따라서 “~도움을 줄 수 있다.”의 형식으로 표시하여야 합니다."
로즈힙분말,"""로즈힙분말은 관절 및 연골 건강에 도움을 줄 수 있습니다."" ■인체시험에서 “로즈힙분말”의 관절 및 연골 건강에 도움을 줄 수 있는 기능이 확인되었으나 자료의 수가 제한되어 있습니다. 따라서 “~도움을 줄 수 있다.”의 형식으로 표시하여야 합니다."
Dimethylsulfone,"“ ()은 관절건강에 도움이 될 수 있으나 인체시험을 통한 확인이 필요합니다.” (동물시험을 통하여 관절건강에 도움이 될 수 있음이 확인되었으나 인체시험에서 확인이 필요함. 따라서, 반드시 “---는 도움을 줄 수 있으나 인체에서 확인이 필요합니다”라고 표기해야 함)"
구아바잎,"""식후 혈당조절에 도움을 줄 수 있습니다."" ■소수의 인체시험에서 “구아바잎”의 식후 혈당조절에 도움을 줄 수 있는 기능을 확인하였습니다. 따라서 “~도움을 줄 수 있다.”의 형식으로 표시하여야 합니다"
EPA 및 DHA 함유유지,기억력 개선에 도움을 줄 수 있음
우뭇가사리추출물,체지방 감소에 도움을 줄 수 있습니다.
오미자·두충·구기자추출복합물,뼈건강에 도움을 줄 수 있음
영지버섯균사체추출분말,면역기능 증진에 도움을 줄 수 있음
유산균발효굴추출물,어린이키성장에 도움을 줄 수 있음
저분자콜라겐펩타이드,자외선에의한 피부손상으로부터 피부건강을 유지하는데 도움을 줄 수 있음 / 피부 보습에 도움을 줄 수 있음
저분자콜라겐펩타이드,"자외선에의한 피부손상으로부터 피부건강을 유지하는데 도움을 줄 수 있음, 피부 보습에 도움을 줄 수 있음"
유산균발효굴추출물,어린이 키성장에 도움을 줄 수 있음.
참당귀황기추출복합물,전립선 건강 유지에 도움을 줄 수 있음
산딸기·왕느릅나무·치자추출복합물,"위를 보호하여 위 건강에 도움, *인체시험결과:위장관증상척도 설문지() 중 역류 증상+복통 증상의 중증도 및 빈도 점수, 증상 중증도 및 빈도 총점수, 소화불량 증상 중증도 및 빈도 점수, 설사 증상 중증도 점수, 변비 증상 중증도 점수의 유의성을 확인하여 본 인체적용시험을 통해 산딸기추출물 등 혼합물 4주 섭취가 위장관 증상 개선에 대한 유효성을 확인하였다. 또한 본 연구가 진행되는 동안 임상적으로 의미 있는 이상반응이나 신체변화가 관찰되지 않아서 산딸기추출물 등 혼합물 섭취가 인체에 안전하다고 판단하였다."
장미꽃잎추출물,"자외선에 의한 피부 손상으로부터 피부 건강을 유지하는데 도움을 줄 수 있음, 피부 보습에 도움을 줄 수 있음"
저분자유청단백가수분해물,근력향상에 도움을 줄 수 있음
털부처꽃추출물,체지방 감소에 도움을 줄 수 있음
사탕수수왁스알코올,혈중 콜레스테롤 수치 개선에 도움을 줄 수 있음
아쉬아간다추출물,
Lactiplantibacillus plantarum PBS067 등 프로바이오틱스 복합물,
유산균발효대두분말,위 점막 보호를 통해 위 불편감 개선에 도움을 줌
유산균발효대두분말,위 점막 보호를 통해 위 불편감 개선에 도움을 줌
보스웰리아추출물,
황칠나무잎·줄기추출물,인지기능개선에 도움을 줄 수 있음
홍삼추출효소처리분말,혈압조절에 도움을 줄 수 있음
